bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
1922-02-26T00:00:00	1952-04-29T00:00:00	Rosalind	Margaret Leighton	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1939-08-16T00:00:00	1972-06-05T00:00:00	Rosalind	Carole Shelley	William Hutt	Stratford Festival	Festival Theatre (Canada)	female	none	yes
1912-02-13T00:00:00	1942-04-09T00:00:00	Rosalind	Margaretta Scott	Baliol Holloway	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes
1949-04-26T00:00:00	1978-09-15T00:00:00	Rosalind	Charlotte Cornwell	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London	female	none	yes
1916-06-23T00:00:00	1959-06-29T00:00:00	Rosalind	Irene Worth	Peter Wood	Stratford Festival	Festival Theatre (Canada)	female	none	yes
1937-01-30T00:00:00	1961-07-04T00:00:00	Rosalind	Vanessa Redgrave	Michael Elliott	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	English
1957-07-09T00:00:00	1997-02-11T00:00:00	Rosalind	Kelly Mcgillis	Laurence Boswell	Shakespeare Theatre Company	Lansburgh Theatre	female	none	yes	English,Scottish,German,Irish
1947-06-18T00:00:00	1986-11-12T00:00:00	Rosalind	Ivonne Coll	Estelle Parsons	Joseph Papp	Belasco Theatre	female	none	yes	Irish
1983-10-17T00:00:00	1997-05-18T00:00:00	Rosalind	Felicity Jones	Liviu Ciulei	The Acting Company	Theater at St. Clement's Church	female	none	flagged	Italian,Italian,Tuscan
1969-06-06T00:00:00	2003-03-20T00:00:00	Rosalind	Nina Sosanya	Gregory Thompson	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	female	Black	yes	Nigerian,Yoruba
1962-01-20T00:00:00	1989-09-13T00:00:00	Rosalind	Sophie Thompson	John Caird	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	Scottish
1934-12-28T00:00:00	1978-06-09T00:00:00	Rosalind	Maggie Smith	Robin Phillips	Stratford Festival	Festival Theatre (Canada)	female	none	yes	Scottish
1938-03-04T00:00:00	1963-07-11T00:00:00	Rosalind	Paula Prentiss	Gerald Freedman	New York Shakespeare Festival	Delacorte Theater	female	none	yes	Sicilian,Italian
