actor_name	formatted_bday	actor_gender	ethnicity	age_is_est	birthday_data_source_link	bday_data_source	is_actor	photo_url	ethnic_cat
Nonso Anozie	1979-05-28T00:00:00	male	Black	FALSE	https://www.imdb.com/name/nm1996829/	Wikipedia/IMDb	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Nonso_Anozie_at_the_Pan_Premiere_%28cropped%29.jpg/220px-Nonso_Anozie_at_the_Pan_Premiere_%28cropped%29.jpg	Nigerian
Ty Jones	1970-01-01T00:00:00	male	Black	TRUE		http://www1.udel.edu/udaily/2016/mar/PaulRJonesLecture031116.html	TRUE		none
Lorraine Burroughs	1981-07-01T00:00:00	female	Black	TRUE		Wikipedia	TRUE		none
Vinette Robinson	1985-07-01T00:00:00	female	Black	TRUE		Wikipedia	TRUE		West Indian
Condola Rashad	1986-12-11T00:00:00	female	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/b/b3/Condola_Rash%C4%81d%2C_The_Women_of_Billions_Season_2.jpg	none
Paapa Essiedu	1990-07-01T00:00:00	male	Black	TRUE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Hayfestival-2016-brotton-essiedu-peake.jpg/220px-Hayfestival-2016-brotton-essiedu-peake.jpg	Ghanaian
Ray Fearon	1973-08-05T00:00:00	male	Black	FALSE		Google	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kathrine_Windfeld_och_Ray_Fearon.JPG/220px-Kathrine_Windfeld_och_Ray_Fearon.JPG	none
Adetomiwa Edun	1984-03-04T00:00:00	male	Black	FALSE		Wikipedia/Google	TRUE		Yoruba,Ghanaian,Ghanaian,English
Tendayi Jembere	no birthday on article	male	Black	FALSE			TRUE		Zimbabwean
Zahra Newman	1986-09-01T00:00:00	female	Black	TRUE		https://www.smh.com.au/entertainment/theatre/zahra-newman-finds-freedom-in-as-you-like-it-20150303-13stkb.html	TRUE		African,Jamaican
Josette Simon	no birthday on article	female	Black	FALSE			TRUE		Antigua and Barbuda
Carol Royle	no birthday on article	female	Black	FALSE			TRUE	upload.wikimedia.org/wikipedia/commons/thumb/1/16/Carol_Royle.png/220px-Carol_Royle.png	none
Hugh Quarshie	1954-12-22T00:00:00	male	Black	FALSE		Wikipedia	TRUE		Dutch,Dutch,English
Angela Bassett	1958-08-16T00:00:00	female	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/6/68/Angela_Bassett_by_Gage_Skidmoe.jpg/220px-Angela_Bassett_by_Gage_Skidmoe.jpg	none
Regina Taylor	1960-08-22T00:00:00	female	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/01/SamWaterstonReginaTaylorJan10.jpg/220px-SamWaterstonReginaTaylorJan10.jpg	Sierra Leonean,Liberian,Kru,Mende
Lennie James	1965-10-11T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Lennie_James_by_Gage_Skidmore.jpg/220px-Lennie_James_by_Gage_Skidmore.jpg	Trinidad and Tobago
David Oyelowo	1976-04-01T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/8/81/David_Oyelowo_Golden_Globes.jpg/200px-David_Oyelowo_Golden_Globes.jpg	Yoruba,Nigerian
Chiwetel Ejiofor	1977-07-10T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Chiwetel_Ejiofor_by_Gage_Skidmore.jpg/220px-Chiwetel_Ejiofor_by_Gage_Skidmore.jpg	Igbo,Nigerian
Gugu Mbatha-Raw	1983-04-21T00:00:00	female	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/5/51/Gugu_Mbatha-Raw_2013_TIFF.jpg/220px-Gugu_Mbatha-Raw_2013_TIFF.jpg	South African
James Earl Jones	1931-01-17T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/f/fc/James_Earl_Jones_%288516667383%29.jpg/220px-James_Earl_Jones_%288516667383%29.jpg	African,Cherokee,Choctaw,Irish
Denzel Washington	1954-12-28T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/d/d3/The_Equalizer_07_%2815127104638%29.jpg/220px-The_Equalizer_07_%2815127104638%29.jpg	none
Josette Bushell-Mingo	1964-02-16T00:00:00	female	Black	FALSE		Wikipedia	TRUE		Kenyan
Charles S. Dutton	1951-01-30T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/c/cd/CharlesSDutton07TIFF.jpg/220px-CharlesSDutton07TIFF.jpg	none
Nell Carter	1948-09-13T00:00:00	female	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/en/thumb/f/f6/Nell_Carter.jpg/220px-Nell_Carter.jpg	none
Lenny Henry	1958-08-29T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Lenny_Henry_in_The_Comedy_of_Errors_2011_%28crop%29.jpg/220px-Lenny_Henry_in_The_Comedy_of_Errors_2011_%28crop%29.jpg	Jamaican
Avery Brooks	1948-10-02T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/b/b6/QTXP_20121019_Destination_Star_Trek_London_MG_2144.jpg/220px-QTXP_20121019_Destination_Star_Trek_London_MG_2144.jpg	none
