not found
7th January 1986	Desdemona	Niamh Cusack	Director:Terry Hands
7th January 1986	Othello	Ben Kingsley	Director:Terry Hands
2nd July 1980	Ophelia	Carol Royle	Director:John Barton
2nd July 1980	Hamlet	Michael Pennington	Director:John Barton
6th October 1913	Ophelia	Dorothy Green	Director:unknown
6th October 1913	Hamlet	F R Benson	Director:unknown
16th April 1936	Romeo	Peter Glenville	Director:Randle Ayrton
16th April 1936	Juliet	Pamela Brown	Director:Randle Ayrton
6th March 1967	Romeo	Gawn Grainger	Director:Val May
6th March 1967	Juliet	Jane Asher	Director:Val May
5th July 2000	Romeo	David Tennant	Director:Michael Boyd
5th July 2000	Juliet	Alexandra Gilbreath	Director:Michael Boyd
8th October 2004	Romeo	Matthew Rhys	Director:Peter Gill
8th October 2004	Juliet	Sian Brooke	Director:Peter Gill
not found
18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
17th October 1935	Juliet	Peggy Ashcroft	Director:John Gielgud
13th May 1926	Ophelia	Gwen Ffrangcon-Davies	Director:unknown
13th May 1926	Hamlet	Colin Keith-Johnston	Director:unknown
unknown opening	Romeo	Howard Southern	Director:Noreen Craven
unknown opening	Juliet	Vivien Heilbron	Director:Noreen Craven
24th September 1985	Iago	David Suchet	Director:Terry Hands
24th September 1985	Desdemona	Niamh Cusack	Director:Terry Hands
24th September 1985	Othello	Ben Kingsley	Director:Terry Hands
unknown opening	Ophelia	Julia Ford	Director:Robert Sturua
unknown opening	Hamlet	Alan Rickman	Director:Robert Sturua
5th July 1998	Romeo	Ray Fearon	Director:Michael Attenborough
5th July 1998	Juliet	Zoe Waites	Director:Michael Attenborough
5th August 1913	Ophelia	Ethel McDowall	Director:F R Benson
5th August 1913	Hamlet	F R Benson	Director:F R Benson
21st April 1934	Romeo	John Wyse	Director:W Bridges-Adams
21st April 1934	Juliet	Rachel Kempson	Director:W Bridges-Adams
15th July 2000	Ophelia	Cathryn Bradshaw	Director:John Caird
15th July 2000	Hamlet	Simon Russell Beale	Director:John Caird
unknown opening	Iago	David Calder	Director:David Thacker
unknown opening	Desdemona	Kate Fahy	Director:David Thacker
unknown opening	Othello	Rudolph Walker	Director:David Thacker
not found
18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
28th April 1886	Iago	Mr Thalberg	Director:F R Benson
28th April 1886	Desdemona	Ethel Johnson	Director:F R Benson
28th April 1886	Othello	F R Benson	Director:F R Benson
not found
15th August 1914	Romeo	Murray Carrington	Director:F R Benson
15th August 1914	Juliet	Dorothy Green	Director:F R Benson
14th August 1980	Iago	Bob Peck	Director:Ronald Eyre
14th August 1980	Desdemona	Suzanne Bertish	Director:Ronald Eyre
14th August 1980	Othello	Donald Sinden	Director:Ronald Eyre
not found
3rd May 1880	Iago	W H Hallatt	Director:Barry Sullivan
3rd May 1880	Desdemona	Miss Masson	Director:Barry Sullivan
3rd May 1880	Othello	Barry Sullivan	Director:Barry Sullivan
5th May 1913	Ophelia	Ethel McDowall	Director:F R Benson
5th May 1913	Hamlet	F R Benson	Director:F R Benson
21st April 2009	Iago	Conrad Nelson	Director:Barry Rutter
21st April 2009	Othello	Lenny Henry	Director:Barry Rutter
not found
2nd May 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
2nd May 2001	Hamlet	Samuel West	Director:Steven Pimlott
6th October 1913	Romeo	Murray Carrington	Director:F R Benson
11th August 1919	Romeo	Basil Rathbone	Director:W Bridges-Adams
11th August 1919	Juliet	Joyce Carey	Director:W Bridges-Adams
18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
not found
30th May 2009	Iago	Richard Kidd	Director:Charlotte Conquest
30th May 2009	Desdemona	Ffion Jolly	Director:Charlotte Conquest
30th May 2009	Othello	Victor Power	Director:Charlotte Conquest
5th April 1947	Romeo	Laurence Payne	Director:Peter Brook
5th April 1947	Juliet	Daphne Slater	Director:Peter Brook
16th April 1898	Ophelia	Constance Benson	Director:F R Benson
16th April 1898	Hamlet	F R Benson	Director:F R Benson
not found
25th August 1913	Romeo	Murray Carrington	Director:F R Benson
25th August 1913	Juliet	Dorothy Green	Director:F R Benson
7th March 2009	Iago	Michael Gould	Director:Kathryn Hunter
7th March 2009	Desdemona	Natalia Tena	Director:Kathryn Hunter
7th March 2009	Othello	Patrice Naiambana	Director:Kathryn Hunter
1st June 1974	Romeo	Martin Connor	Director:Ian Mullins
1st June 1974	Juliet	Sammie Winmill	Director:Ian Mullins
unknown opening	Ophelia	Allison McKenzie	Director: Mark Thomson
unknown opening	Hamlet	Liam Brennan	Director: Mark Thomson
13th August 1915	Romeo	Basil Rathbone	Director:F R Benson
13th August 1915	Juliet	Dorothie Pidcock	Director:F R Benson
not found
24th November 2007	Iago	Sean Campion	Director:Raz Shaw
