<a href="/broadway-cast-staff/mabel-moore-68351">Mabel Moore</a>	Ophelia	<td class="dates">Nov 22, 1918</td>
<a href="/broadway-cast-staff/george-relph-57469">George Relph</a>	Romeo	<td class="dates">Nov 22, 1915</td>
<a href="/broadway-cast-staff/khyva-st-albans-60740">Khyva St. Albans</a>	Juliet	<td class="dates">Nov 22, 1915</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Lady Macbeth	<td class="dates">Sep 22, 1913</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Macbeth	<td class="dates">Sep 22, 1913</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Romeo	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/genevieve-hamper-43969">Genevieve Hamper</a>	Juliet	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/marie-carroll-34695">Marie Carroll</a>	Ophelia	<td class="dates">Mar 24, 1930</td>
<a href="/broadway-cast-staff/fritz-leiber-21965">Fritz Leiber</a>	Hamlet	<td class="dates">Mar 24, 1930</td>
<a href="/broadway-cast-staff/walter-hampden-15020">Walter Hampden</a>	Hamlet	<td class="dates">Oct 10, 1925</td>
<a href="/broadway-cast-staff/ethel-barrymore-31140">Ethel Barrymore</a>	Ophelia	<td class="dates">Oct 10, 1925</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Hamlet	<td class="dates">Apr 16, 1917</td>
<a href="/broadway-cast-staff/genevieve-hamper-43969">Genevieve Hamper</a>	Ophelia	<td class="dates">Apr 16, 1917</td>
<a href="/broadway-cast-staff/john-forrest-40921">John Forrest</a>	Fool	<td class="dates">Dec 25, 1930</td>
<a href="/broadway-cast-staff/fritz-leiber-21965">Fritz Leiber</a>	King Lear of Britain	<td class="dates">Dec 25, 1930</td>
<a href="/broadway-cast-staff/walter-hampden-15020">Walter Hampden</a>	Macbeth	<td class="dates">Apr 19, 1921</td>
<a href="/broadway-cast-staff/mary-hall-43779">Mary Hall</a>	Lady Macbeth	<td class="dates">Apr 19, 1921</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Hamlet	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/genevieve-hamper-43969">Genevieve Hamper</a>	Ophelia	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Juliet	<td class="dates">Sep 22, 1913</td>
