actor	bday
Elizabeth Mcgovern	1961-07-18T00:00:00
Elizabeth Olsen	1989-02-16T00:00:00
Elizabeth Owens	1928-02-26T00:00:00
Elizabeth Spriggs	1929-09-18T00:00:00
Elizabeth Waterston	person not found on wiki
Ellen L Wallis	person not found on wiki
Ellen Terry	1847-02-27T00:00:00
Ellie Kendrick	1990-06-08T00:00:00
Ellie Piercy	person not found on wiki
Elliot Cowan	1976-07-09T00:00:00
Ellis Rabb	1930-06-20T00:00:00
Elsie Ferguson	1883-08-19T00:00:00
Elsie Mackay	1928-03-13T00:00:00
Emily Blunt	1983-02-23T00:00:00
Emily Joyce	1969-04-12T00:00:00
Emily Kitchens	1985-01-01T00:00:00
Emily Morgan	person not found on wiki
Emily Ota	person not found on wiki
Emily Taaffe	no birthday on article
Emlyn Williams	1905-11-26T00:00:00
Emma Cunniffe	1973-07-03T00:00:00
Emma Darwall-Smith	person not found on wiki
Emma Pallant	person not found on wiki
Emrys James	1928-09-01T00:00:00
Enid Graham	1970-02-08T00:00:00
Eric Blind	person not found on wiki
Eric Maturin	1883-05-30T00:00:00
Eric Maxon	1882-01-01T00:00:00
Eric Porter	1928-04-08T00:00:00
Erin Krakow	no birthday on article
Ernest Hare	1900-12-05T00:00:00
Esme Biddle	person not found on wiki
Estelle Kohler	1940-03-28T00:00:00
Ethan Hawke	1970-11-06T00:00:00
Ethel Barrymore	1879-08-15T00:00:00
Ethel Carrington	person not found on wiki
Ethel Johnson	1908-10-08T00:00:00
Ethel Macdowall	person not found on wiki
Ethel Mcdowall	person not found on wiki
Ethel Warwick	1882-10-13T00:00:00
Eva Le Gallienne	1899-01-11T00:00:00
Eva Louise Balistrieri	1989-01-01T00:00:00
Eve Best	1971-07-31T00:00:00
Evelyn Millard	1869-09-18T00:00:00
Ewan Hooper	1935-10-23T00:00:00
Ewan Mcgregor	1971-03-31T00:00:00
F Murray Abraham	1939-10-24T00:00:00
F R Benson	1858-11-04T00:00:00
F W Wyndham	person not found on wiki
F. Murray Abraham	1939-10-24T00:00:00
Fabia Drake	1904-01-20T00:00:00
Faran Tahir	1964-02-16T00:00:00
Fay Compton	1894-09-18T00:00:00
Fay Davis	1873-12-15T00:00:00
Felicity Jones	1983-10-17T00:00:00
Felicity Kendal	1946-09-25T00:00:00
Felix Pitt	person not found on wiki
Fernanda Eliscu	1880-04-24T00:00:00
Ffion Jolly	1987-01-01T00:00:00
Finn Wittrock	1984-10-28T00:00:00
Fiona Shaw	1958-07-10T00:00:00
Flora Elkins	person not found on wiki
Flora Montgomery	1974-01-04T00:00:00
Flora Robson	1902-03-28T00:00:00
Florence Auer	1880-03-03T00:00:00
Florence Glossop-Harris	person not found on wiki
Florence Reed	1883-01-10T00:00:00
Florence Saunders	1890-06-24T00:00:00
Frances Barber	1957-05-13T00:00:00
Frances Conroy	1953-11-13T00:00:00
Frances De La Tour	1944-07-30T00:00:00
Frances Heflin	1920-09-20T00:00:00
Frances Hyland	1927-04-25T00:00:00
Frances Mcdormand	1957-06-23T00:00:00
Frances Reid	1914-12-09T00:00:00
Frances Tomelty	1948-10-06T00:00:00
Francesca Annis	1945-05-14T00:00:00
Francesca Buller	1964-01-20T00:00:00
Francesca Carpanini	person not found on wiki
Francesca Faridany	1969-07-15T00:00:00
Francesca James	1949-01-23T00:00:00
Franchelle Stewart Dorn	1949-11-06T00:00:00
Francis James	1918-04-21T00:00:00
Frank Cellier	1884-02-23T00:00:00
Frank Finlay	1926-08-06T00:00:00
Frank Langella	1938-01-01T00:00:00
Frank Randall	no birthday on article
Frank Rodney	person not found on wiki
Frank Silvera	1914-07-24T00:00:00
Frederick Lewis	person not found on wiki
Frederick Valk	1895-06-10T00:00:00
Fritz Leiber	1882-01-31T00:00:00
G Hippisley	person not found on wiki
Gabriel Paul Gawin	person not found on wiki
